step,time_ms
0,184.3723
1,40.4009
2,37.9742
3,36.2372
4,16.2235
5,16.6819
6,16.2386
7,16.8689
8,16.5377
9,17.2600
10,17.1123
11,17.6217
12,40.1605
13,20.8069
14,18.9865
15,41.2262
16,21.8868
17,20.5955
18,21.4262
19,19.6621
20,20.7634
21,20.3416
22,20.7002
23,20.8357
24,22.7629
25,20.3505
26,20.5749
27,41.4032
28,24.3244
29,24.7360
30,20.9051
31,45.8810
32,18.8046
33,20.2477
34,22.0909
35,20.8796
36,121.9792
37,21.9297
38,21.7600
39,46.5595
40,41.8648
41,20.2616
42,20.6837
43,20.3707
44,39.0332
45,19.2067
46,38.6179
47,24.8789
48,21.4979
49,20.7048
50,20.1401
51,19.6559
52,19.3169
53,40.6983
54,19.9100
55,20.0504
56,20.2321
57,19.8776
58,42.0584
59,20.5357
60,41.9873
61,20.3236
62,19.2385
63,37.6325
64,17.1935
65,20.6796
66,41.6639
67,22.3284
68,120.4150
69,48.6177
70,28.1358
71,17.0052
72,44.6117
73,38.1878
74,27.6229
75,43.5964
76,22.8470
77,20.5999
78,19.2381
79,20.4629
80,44.6799
81,42.5400
82,19.6831
83,24.1788
84,25.0253
85,19.5916
86,43.8052
87,19.9780
88,19.3090
89,16.2596
90,38.6283
91,45.6332
92,16.8167
93,18.2327
94,17.0655
95,16.9736
96,20.9414
97,141.9119
98,22.4819
99,22.7535
100,43.9300
101,20.8297
102,36.9203
103,20.4322
104,20.4091
105,19.7594
106,44.8393
107,19.1687
108,20.6210
109,20.2007
110,19.4045
111,19.6004
112,17.5533
113,20.5319
114,20.4514
115,43.6419
116,44.2443
117,20.8994
118,21.0888
119,19.8726
120,19.8047
121,19.6471
122,19.9403
123,19.2197
124,21.4256
125,21.0667
126,17.5564
127,21.0239
128,45.7438
129,148.6916
130,48.1321
131,18.4514
132,45.4616
133,42.9759
134,21.0890
135,18.2353
136,22.0685
137,43.1838
138,22.0973
139,43.1682
140,22.4187
141,21.0993
142,40.1724
143,19.3039
144,20.0336
145,23.0547
146,21.5901
147,25.3254
148,52.5339
149,48.4689
150,21.3828
151,29.8757
152,19.6972
153,19.2877
154,24.8323
155,47.0695
156,19.7640
157,122.9011
158,49.3482
159,21.2007
160,22.8452
161,46.8123
162,22.4386
163,26.3655
164,21.9917
165,47.9562
166,21.9576
167,21.7332
168,47.4062
169,23.1618
170,21.7906
171,21.4329
172,43.6786
173,21.7577
174,21.2653
175,22.0846
176,21.9888
177,21.5799
178,20.7799
179,47.2242
180,21.7462
181,23.4294
182,43.9983
183,47.4343
184,22.4103
185,24.5602
186,123.3165
187,49.2032
188,45.2051
189,46.9595
190,48.4946
191,21.0211
192,46.9838
193,46.3467
194,22.2917
195,23.8410
196,22.1357
197,47.0530
198,21.7280
199,21.1110
200,44.7713
201,21.9787
202,22.3745
203,23.8997
204,46.8089
205,28.3344
206,21.9003
207,22.0583
208,22.4068
209,46.5523
210,23.9363
211,26.9060
212,23.0375
213,143.7962
214,25.1779
215,48.7987
216,21.8690
217,43.8178
218,47.2130
219,21.6497
220,22.0363
221,21.9675
222,21.2558
223,22.3053
224,44.0527
225,21.1659
226,22.8088
227,43.5550
228,42.3050
229,21.0326
230,20.9386
231,20.5975
232,28.8778
233,21.4170
234,22.7114
235,22.3534
236,22.2808
237,44.2829
238,20.7523
239,22.7758
240,22.2697
241,20.5001
242,21.6121
243,23.0139
244,145.1956
245,46.6259
246,30.1570
247,42.2475
248,46.1456
249,24.5019
250,23.5445
251,42.9346
252,31.7464
253,21.7866
254,21.3009
255,23.5551
256,46.1089
257,19.8591
258,41.4536
259,35.6954
260,25.7297
261,21.1430
262,25.7029
263,23.0784
264,20.3021
265,24.4455
266,49.3902
267,47.0919
268,21.2510
269,47.7679
270,148.7375
271,23.4612
272,24.0278
273,46.7647
274,21.4689
275,21.8990
276,26.2778
277,19.6394
278,20.0680
279,42.8035
280,33.9845
281,21.9813
282,32.9722
283,28.5057
284,53.5620
285,21.4333
286,21.5366
287,22.4144
288,46.0690
289,23.3851
290,22.7989
291,45.3678
292,21.6142
293,19.5319
294,43.6294
295,21.3639
296,22.3674
297,47.4495
298,19.7241
299,119.1185
300,21.7172
301,19.8091
302,50.9288
303,19.0028
304,19.8620
305,20.4541
306,19.6136
307,18.6179
308,22.4429
309,46.6418
310,43.9934
311,23.7710
312,49.4418
313,21.6537
314,47.4869
315,21.8486
316,22.0575
317,52.2423
318,21.4237
319,45.7618
320,43.1279
321,49.3472
322,22.9961
323,18.6940
324,50.8717
325,145.8684
326,46.9099
327,48.7041
328,47.8463
329,50.0205
330,22.7549
331,50.7067
332,48.2673
333,21.8566
334,44.5976
335,52.1774
336,22.0701
337,47.1373
338,47.3946
339,20.6547
340,50.5449
341,46.2520
342,21.6823
343,23.9642
344,21.0766
345,21.0470
346,20.8879
347,51.9741
348,122.5945
349,27.1765
350,20.7692
351,18.8323
352,18.4686
353,48.7543
354,60.1793
355,52.8884
356,19.9362
357,20.3577
358,21.9864
359,22.2803
360,20.7056
361,49.1305
362,45.7452
363,21.3454
364,21.6670
365,19.8358
366,23.0926
367,44.0603
368,48.0897
369,20.3482
370,24.2248
371,23.2351
372,44.9841
373,28.8028
374,21.2015
375,119.3072
376,24.9612
377,20.3514
378,47.4341
379,19.2645
380,21.2651
381,49.7850
382,23.1399
383,25.2632
384,22.6479
385,49.6936
386,23.3510
387,22.5318
388,45.4748
389,48.9045
390,34.4742
391,44.6487
392,45.7594
393,21.4949
394,48.1807
395,43.9478
396,20.7356
397,21.5249
398,29.4811
399,19.2809
400,19.5982
401,147.6763
402,46.8454
403,45.3214
404,22.4961
405,21.6018
406,23.3391
407,33.6055
408,47.3301
409,53.7456
410,28.4523
411,55.2667
412,44.5396
413,22.0902
414,22.8307
415,22.5535
416,32.1343
417,23.6893
418,20.9710
419,46.2209
420,21.4114
421,43.7043
422,21.1176
423,46.2699
424,47.2982
425,18.7082
426,148.7343
427,51.2201
428,49.8967
429,41.5953
430,50.4517
431,42.2282
432,20.8644
433,22.2368
434,21.0996
435,20.5961
436,23.8407
437,48.5850
438,48.0102
439,49.1270
440,24.0826
441,21.3369
442,23.2973
443,22.4237
444,21.8733
445,23.5254
446,23.8297
447,23.0043
448,22.3933
449,22.9232
450,49.0381
451,20.1969
452,149.0379
453,47.7834
454,20.9538
455,35.7556
456,49.5163
457,50.4279
458,50.2988
459,46.5018
460,22.9312
461,22.7449
462,22.6736
463,22.5771
464,22.7793
465,48.9752
466,21.1806
467,48.7164
468,24.9304
469,25.3571
470,30.7702
471,23.1760
472,21.7805
473,43.8928
474,23.9079
475,22.3831
476,50.7490
477,24.7638
478,125.3230
479,25.7600
480,24.6840
481,20.0862
482,26.1361
483,28.3171
484,28.7110
485,53.7097
486,31.3710
487,29.0954
488,49.1211
489,35.0337
490,45.4543
491,27.8841
492,51.2310
493,20.8773
494,21.6786
495,19.8741
496,23.8569
497,24.4831
498,46.0782
499,43.5790
500,22.6309
501,22.0900
502,46.4362
503,22.1874
504,147.0316
505,24.9635
506,24.6873
507,47.1436
508,22.9202
509,50.6074
510,48.4503
511,51.2183
512,48.9188
513,23.2801
514,23.1679
515,24.6158
516,23.4250
517,53.4287
518,23.1085
519,25.7083
520,49.0375
521,22.7958
522,23.9994
523,24.1257
524,28.1564
525,33.4638
526,22.3170
527,25.7380
528,50.0571
529,154.5805
530,23.7969
531,45.3093
532,48.1255
533,45.4079
534,29.8549
535,24.2193
536,22.2188
537,22.7636
538,23.0376
539,21.8583
540,23.6103
541,23.7484
542,22.9074
543,22.8337
544,24.1238
545,48.5046
546,49.6716
547,26.0851
548,46.7411
549,24.9449
550,53.5533
551,24.3329
552,22.2158
553,48.0780
554,23.5147
555,145.8022
556,26.0709
557,24.9828
558,23.6394
559,21.1516
560,42.3803
561,20.4607
562,20.1026
563,21.7632
564,45.0243
565,21.5365
566,20.6455
567,20.0736
568,52.1988
569,22.2978
570,44.6478
571,48.6712
572,22.0498
573,25.5466
574,41.0286
575,48.8339
576,21.3990
577,55.7536
578,25.0727
579,21.7302
580,45.3665
581,20.8508
582,141.9038
583,23.9694
584,24.4197
585,23.2789
586,21.6735
587,24.0691
588,23.4554
589,43.5516
590,22.1739
591,36.5195
592,48.5077
593,22.2191
594,48.3940
595,26.9072
596,26.1415
597,22.9818
598,21.7302
599,47.4473
600,49.7719
601,23.0011
602,23.9429
603,22.3912
604,24.4463
605,23.5093
606,22.6409
607,23.0859
608,24.9718
609,22.8369
610,44.8875
611,147.6576
612,26.4372
613,22.6257
614,23.5571
615,46.6110
616,49.5099
617,48.6983
618,21.0942
619,23.1399
620,26.4714
621,24.3221
622,22.5527
623,23.8782
624,22.0254
625,22.3351
626,47.6205
627,22.2418
628,22.0839
629,46.6545
630,23.0690
631,23.6164
632,22.6281
633,22.2574
634,46.9150
635,21.4472
636,24.7168
637,20.9068
638,48.2701
639,24.7840
640,124.8682
641,51.7187
642,51.7830
643,46.6103
644,24.2646
645,23.0968
646,57.5871
647,23.4160
648,23.1317
649,46.1975
650,21.5978
651,27.0296
652,24.6474
653,49.3549
654,20.3642
655,20.6391
656,47.7444
657,21.1360
658,22.2296
659,48.2485
660,50.7138
661,23.3080
662,45.8812
663,22.1199
664,22.4001
665,124.8065
666,24.7209
667,32.4311
668,24.9671
669,32.3533
670,48.0397
671,23.8576
672,22.5312
673,45.2426
674,26.6964
675,24.0218
676,29.8459
677,45.3184
678,20.2989
679,23.3102
680,48.2541
681,22.7066
682,19.6021
683,21.6160
684,22.3382
685,21.2453
686,22.5986
687,22.7631
688,23.4639
689,21.7478
690,22.2547
691,47.0065
692,44.0792
693,21.0907
694,144.4633
695,26.4638
696,24.5953
697,47.8183
698,45.1410
699,45.0791
700,20.9995
701,48.2574
702,23.6716
703,17.5964
704,21.6291
705,21.0121
706,21.6746
707,19.8355
708,21.9035
709,42.6202
710,46.5005
711,22.6306
712,49.8302
713,25.2895
714,20.7288
715,45.3214
716,47.6863
717,49.4428
718,28.7660
719,26.0929
720,128.9716
721,51.7857
722,23.1131
723,25.6631
724,49.3514
725,22.7021
726,23.8564
727,24.3732
728,22.4937
729,24.3638
730,24.6221
731,22.3747
732,51.3216
733,20.5007
734,23.5761
735,22.0901
736,21.7842
737,22.3574
738,50.3558
739,22.5468
740,26.3149
741,52.9170
742,55.0808
743,51.6360
744,25.6283
745,29.2219
746,22.7094
747,123.7666
748,26.4808
749,53.3015
750,25.0190
751,25.6186
752,25.2955
753,25.0341
754,51.4330
755,50.2850
756,46.3150
757,49.8481
758,23.4479
759,47.5219
760,28.1711
761,50.3948
762,24.0137
763,52.2284
764,30.1479
765,23.9471
766,51.3976
767,22.4613
768,22.3464
769,22.7799
770,50.8205
771,122.9056
772,51.3237
773,47.9163
774,26.8247
775,56.2724
776,24.7125
777,50.6789
778,25.2296
779,25.3269
780,22.1417
781,26.1814
782,51.0071
783,25.5049
784,33.0619
785,32.0200
786,25.9454
787,23.6149
788,26.1603
789,23.4090
790,32.1670
791,51.9696
792,26.0468
793,51.9485
794,26.2590
795,24.9192
796,25.2854
797,167.4315
798,42.1400
799,33.1361
800,29.0397
801,54.0120
802,33.2588
803,49.1877
804,58.2527
805,62.8656
806,55.3390
807,61.2649
808,31.3046
809,29.0360
810,29.6257
811,30.8346
812,57.8361
813,56.3024
814,30.5343
815,53.0330
816,123.8927
817,55.6783
818,54.2123
819,22.1785
820,21.6687
821,50.7780
822,23.5358
823,49.9698
824,47.0994
825,51.2216
826,47.4084
827,24.2092
828,23.3954
829,23.9227
830,51.3598
831,22.4746
832,24.3600
833,47.4607
834,24.5728
835,22.6721
836,52.5563
837,47.4171
838,25.1688
839,124.4417
840,27.5659
841,26.5464
842,35.1311
