step,time_ms
0,0.4031
1,69.2158
2,73.3465
3,74.3145
4,74.2732
5,74.3018
6,74.3370
7,74.3902
8,73.5204
9,73.2941
10,73.3942
11,74.4038
12,73.4205
13,74.3496
14,74.3059
15,74.2638
16,74.3691
17,74.2607
18,73.2996
19,74.2588
20,74.3314
21,74.2670
22,74.2583
23,74.3633
24,74.2563
25,74.3305
26,73.3295
27,74.3079
28,74.3218
29,74.3888
30,74.3501
31,74.3200
32,73.3967
33,74.3275
34,74.3412
35,74.3186
36,73.3851
37,74.4463
38,73.3860
39,74.3835
40,74.5012
41,74.4936
42,74.3058
43,74.3053
44,73.5364
45,74.3031
46,74.3127
47,74.3234
48,74.4974
49,74.3283
50,73.4658
51,74.2885
52,73.4081
53,74.3879
54,73.2593
55,74.3218
56,73.3370
57,73.3755
58,74.3744
59,73.4102
60,73.3726
61,73.3637
62,73.2687
63,73.5827
64,72.3504
65,73.3293
66,73.3632
67,72.5346
68,72.3618
69,73.4045
70,73.3350
71,70.5022
72,70.9119
73,70.7055
74,70.9852
75,70.7030
76,71.4401
77,72.3693
78,73.4330
79,72.5241
80,72.8973
81,70.5525
82,71.5072
83,73.7726
84,72.4282
85,72.5352
86,73.3109
87,72.3396
88,73.3380
89,72.6231
90,73.4198
91,72.4387
92,73.3642
93,73.6059
94,72.6196
95,71.8182
96,72.5733
97,72.6175
98,72.4822
99,73.4778
100,72.4096
101,72.3832
102,72.6570
103,72.4786
104,71.5882
105,72.6215
106,72.4712
107,72.4718
108,73.3874
109,73.4908
110,72.3704
111,72.4483
112,73.3672
113,72.5772
114,72.5140
115,73.4509
116,73.5191
117,72.5097
118,73.4537
119,72.6015
120,72.4377
121,73.4273
122,73.3605
123,73.3998
124,73.3707
125,73.4005
126,73.3649
127,73.3462
128,73.4199
129,73.4016
130,73.4170
131,73.5183
132,72.4427
133,73.5212
134,73.4332
135,73.6536
136,73.4361
137,73.5480
138,73.4652
139,73.5682
140,73.4242
141,73.5527
142,73.3895
143,73.3952
144,73.5685
145,73.4636
146,74.4215
147,73.4583
148,73.3663
149,73.4859
150,73.4492
151,73.4593
152,73.4072
153,73.6295
154,72.4285
155,74.4771
156,73.4399
157,73.5068
158,73.5353
159,73.4898
160,72.6467
161,73.6098
162,73.5869
163,73.7887
164,73.4432
165,73.6984
166,72.5843
167,73.6009
168,73.4789
169,73.6130
170,73.4313
171,74.5002
172,74.4764
173,74.4381
174,73.5176
175,73.4856
176,73.4479
177,73.4797
178,73.6250
179,73.5507
180,73.5317
181,73.5308
182,73.4740
183,74.4750
184,72.6741
185,73.4839
186,73.5649
187,72.6047
188,73.6520
189,73.5156
190,72.4947
191,73.5534
192,73.5951
193,73.4981
194,73.6969
195,72.6757
196,73.5211
197,73.4006
198,73.4039
199,73.5864
200,73.5671
201,73.3797
202,73.6195
203,72.4357
204,73.5868
205,73.3877
206,73.5809
207,72.5686
208,73.5215
209,73.4139
210,72.6000
211,73.4115
212,73.6430
213,73.4552
214,73.6266
215,73.4428
216,73.6654
217,73.4888
218,73.7243
219,73.4572
220,73.6455
221,72.6237
222,73.6598
223,72.4957
224,73.6534
225,73.4811
226,73.6377
227,73.5237
228,72.6770
229,73.5158
230,73.6566
231,73.4647
232,73.6449
233,73.3520
234,73.5220
235,72.7146
236,73.5662
237,73.4413
238,73.5952
239,73.4688
240,73.6063
241,73.3646
242,73.5876
243,73.4177
244,73.6355
245,73.3681
246,73.5276
247,73.4127
248,73.4600
249,73.6813
250,73.4843
251,73.3888
252,73.5741
253,73.4395
254,73.6063
255,73.6505
256,73.4861
257,73.4528
258,73.5520
259,73.5818
260,73.6066
261,73.6656
262,73.4770
263,72.5657
264,73.5812
265,72.4425
266,73.6386
267,72.6095
268,73.6053
269,72.6009
270,73.7875
271,73.4887
272,73.6437
273,73.5638
274,73.6106
275,73.4611
276,74.5312
277,73.4970
278,73.4596
279,73.4954
280,73.4733
281,74.4817
282,74.4464
283,71.8063
284,72.5732
285,72.5462
286,73.5363
287,72.5346
288,72.6130
289,72.9005
290,73.5275
291,72.6242
292,72.5411
293,72.5743
294,72.5442
295,73.4315
296,73.6210
297,72.6504
298,73.5467
299,73.4115
